id_video,c1_form,c1_composition,c1_command,c1_description,c2_form,c2_composition,c2_command,c2_description,c3_form,c3_composition,c3_command,c3_description,c4_form,c4_composition,c4_command,c4_description,c5_form,c5_composition,c5_command,c5_description,c6_form,c6_composition,c6_command,c6_description,c7_form,c7_composition,c7_command,c7_description,c8_form,c8_composition,c8_command,c8_description,gender,country_origin,ocuppation,native_language,second_language,english_proficiency,computer_proficiency,previous_ucp_exp,exp_bitrix24,exp_zoom,exp_skype,exp_livestorm,exp_microsoft_teams,exp_gotomeeting,exp_lucid_meetings,exp_adobe_connect,exp_google_meet,exp_join_me,exp_teamviewer_meeting,exp_discord,previous_hg_exp
P_034,Dynamic,1,Wave up,"Open palm, facing down or facing up, moving up and down (repeat a few times)",Dynamic,1,Wave down,"Open palm, facing down, moving down and up (repeat a few times)",Dynamic,1,Zip mouth,Imitate pulling a zipper across your lips to shut them,Static,1,Listen,Hold hand up to ear in a cup shape as to hear something silent,Static,1,Block camera,Open palm moved slightly towards the camera,Dynamic,1,Palm away from camera,Open palm slightly towards camera to away from camera,Static,1,Index up,Hold the index finger up,Dynamic,1,Wave,Normal side to side wave or normal open close hand wave - may be done with both hands,Female,Denmark,Student,Danish,English,Advanced,Advanced User,4,False,True,True,False,True,False,False,False,False,False,False,False,False
P_035,Dynamic,1,Palm up,Palm facing upward or downward and then raising it,Dynamic,1,Palm down ,Palm facing down and then lowering it,Dynamic,1,Close lid,"Open palm, facing up, to facing down but imitating closing a lid or open palm, arm partially extended out and slightly up to then putting it down",Dynamic,1,Open lid,"Open palm, arm partially extended out and put so the palm faces down to arm slighgly put up",Static,1,Cover eyes ,"Open palms covering the eyes, either single hand over both eyes or both hands over individual eyes",Dynamic,1,Uncover eyes,Remove open palm covering eyes,Static,1,Raised hand,Open palm raised,Dynamic,1,Double close lid,"Open palms, arms partially extended out and slightly up to then putting them down or both palms slightly open to open an move them just above table",Male,Denmark,Student,Danish,,Advanced,Software Developer,4,False,True,True,False,True,False,False,False,False,False,False,True,False
P_036,Dynamic,1,Knob clockwise,Imitate holding a knob midair to then turn it clockwise,Dynamic,1,Knob counter clockwise,Imitate holding a knob midair to then turn it counter clockwise,Dynamic,1,Horizontal clap (movieclapper),Clap hands horizontally with side of hand facing camera imitating a movie clapperboard,Dynamic,1,Horizontal clap (movieclapper),Clap hands horizontally with side of hand facing camera imitating a movie clapperboard,Dynamic,1,Close curtains,Simulate closing the curtains with open palms,Dynamic,1,Open curtains,Simulate opening the curtains with open palms,Static,1,Raised hand,Open palm raised,Dynamic,1,Wave,Normal side to side wave or normal open close hand wave - may be done with both hands,Male,Denmark,Student,Danish,,Advanced,Software Developer,6,False,True,True,False,True,False,False,False,True,False,True,True,True
P_037,Static,1,Listen,Hold hand up to ear in a cup shape as to hear something silent,Dynamic,1,Palm down ,Palm facing down and then lowering it,Static,1,Cover mouth,Cover the mouth with open palm,Dynamic,1,Release,From fist open hand,Static,1,Cross hands/arms,"Cross both open hands or arms, as to indicate a ""x""",Static,1,Thumbs up,Both hands or single hand thumbs up,Static,1,Index up,Hold the index finger up,Dynamic,1,Close lid,"Open palm, facing up, to facing down but imitating closing a lid or open palm, arm partially extended out and slightly up to then putting it down",Male,Denmark,Student,Danish,English,Advanced,Software Developer,7,False,True,True,False,True,False,False,False,True,False,True,True,False
P_038,Dynamic,1,Knob clockwise,Imitate holding a knob midair to then turn it clockwise,Dynamic,1,Knob counter clockwise,Imitate holding a knob midair to then turn it counter clockwise,Dynamic,1,Pinch,All fingers except the thumb is placed up against each other then a pinch with the fingers and the thumb is done (or with index and thumb),Dynamic,1,Pinch,All fingers except the thumb is placed up against each other then a pinch with the fingers and the thumb is done (or with index and thumb),Dynamic,1,Hand down from above head,"Move hand, with the back of the hand facing the camera, or facing down, from above the head to below the head",Dynamic,1,Hand up from below head,"Open palm, facing down, or with back of hand facing camera, from breast level to above head",Static,1,Index up,Hold the index finger up,Dynamic,1,Slit throat,"Imitate slitting the throat using the index finger, or palm",Male,Denmark,Student,danish,,Advanced,Software Developer,5,False,True,True,False,True,False,False,False,True,False,False,True,True
P_039,Dynamic,1,Ear to palm up,Touch ear to palm facing upward and then raising it,Dynamic,1,Wave down,"Open palm, facing down, moving down and up (repeat a few times)",Unkwown,0,Unkwown,Unkwown,Dynamic,1,Snap finger,Snap finger,Unkwown,0,Unkwown,Unkwown,Static,1,Frame,Imitate camera man framing shot with hands to then moving the thumbs together,Static,1,Raised hand,Open palm raised,Dynamic,1,Wave,Normal side to side wave or normal open close hand wave - may be done with both hands,Male,Taiwan,Student,Taiwanese,English,Advanced,Software Developer,4,False,True,False,False,True,False,False,False,True,False,False,True,False
P_040,Dynamic,1,Palm up,Palm facing upward or downward and then raising it,Dynamic,1,Palm down ,Palm facing down and then lowering it,Dynamic,1,Slit throat,"Imitate slitting the throat using the index finger, or palm",Dynamic,1,Slit throat,"Imitate slitting the throat using the index finger, or palm",Dynamic,1,Grab,Slightly open hand to  closing the hand to a fist,Dynamic,1,Open curtains,Simulate opening the curtains with open palms,Static,1,Raised hand,Open palm raised,Dynamic,1,Close lid,"Open palm, facing up, to facing down but imitating closing a lid or open palm, arm partially extended out and slightly up to then putting it down",Male,Sweden,Student,Icelandic,English,Advanced,Software Developer,5,False,True,True,False,True,False,False,False,True,False,False,True,False
P_041,Static,1,Index up,Hold the index finger up,Static,1,Index down,Hold the index finger downwards,Static,1,Index to mouth,"Hold the index finger, pointed up, up against the mouth",Static,1,Listen,Hold hand up to ear in a cup shape as to hear something silent,Static,1,Cover eyes ,"Open palms covering the eyes, either single hand over both eyes or both hands over individual eyes",Static,1,Binoculars,"Form two tubes with you hands and put them up to eyes, as to imitate binoculars",Static,1,Index up,Hold the index finger up,Dynamic,1,Namaste,The namaste greet,Female,Denmark,Student,Danish,English,Advanced,Software Developer,5,False,True,True,False,True,False,False,False,True,False,False,True,True
P_042,Dynamic,1,Palm up,Palm facing upward or downward and then raising it,Dynamic,1,Palm down ,Palm facing down and then lowering it,Dynamic,1,Grab,Slightly open hand to  closing the hand to a fist,Dynamic,1,Release,From fist open hand,Dynamic,1,Swipe left,Swipe from right to left with open palm or finger facing the camera,Dynamic,1,Swipe right,Swipe from left to right with open palm or finger facing the camera,Static,1,Index up,Hold the index finger up,Dynamic,1,Phone down,"Hand doing the shaka hand gesture, or the new phone gesture with flat hand against ear, to arm partially extended out and slightly up to then putting it down",Male,Canada,Student,French,English,Advanced,Software Developer,6,False,True,True,False,True,False,False,False,True,False,False,True,False
P_043,Dynamic,1,Index clockwise,Index finger held out and spun clockwise,Dynamic,1,Index counter clockwise,Index finger held out and spun counter clockwise,Unkwown,0,Unkwown,Unkwown,Unkwown,0,Unkwown,Unkwown,Static,1,Block camera,Open palm moved slightly towards the camera,Dynamic,1,Palm away from camera,Open palm slightly towards camera to away from camera,Static,1,Raised hand,Open palm raised,Unkwown,0,Unkwown,Unkwown,Male,Denmark,Student,Danish,English,Advanced,Advanced User,5,False,True,True,False,True,False,False,False,True,False,False,True,False
