id_video,c1_description,c2_description,c3_description,c4_description,c5_description,c6_description,c7_description,c8_description
P_078,"One hand, thumb finger and index finger extended pinched together, sliding upwards, once","One hand, closed palm facing left in front, thumb finger rubbing index downwards, repeatedly","One hand, open palm facing inward, covering the mouth, stationary","One hand, open palm facing inward, covering the mouth, stationary","One hand, arm extended, open palm facing outward, blocking view in front, stationary","One hand, open palm facing out, waving left-right, repeatedly","One hand, open and raised palm, facing forward, stationary","One hand, closed palm facing inwards, thumb and midi fingers extended, moving downwards in front, once"
P_079,"One hand, curved hand, positioned on the side of the head behind the ear, stationary","One hand, curved hand near the ear, stationary","One hand, open palm facing inward, covering the mouth, stationary","One hand, open palm facing inwards, fingers touching the mouth, moving outward away from the mouth, once","One hand, arm extended, open palm facing outward, blocking view in front, stationary","One hand, arm extended, open palm facing forward, moving downwards, unblocking view in front, once","One hand, index finger extended upward, stationary","One hand, open palm facing outwards, waving rightwards, once"
P_080,"One hand, index finger extended pointing up, repeadly","One hand, index finger extended, pointing down, moving downwards, repeatedly","One hand, closed palm, index finger extended, pointing to front, repeatedly","One hand, closed palm, index finger extended, pointing to front, repeatedly","One hand, arm extended, open palm facing outward, blocking view in front, stationary","One hand, closed palm, index finger extended, pointing to front, repeatedly","One hand, index finger extended upward, stationary","One hand, open palm facing out, waving left-right, repeatedly"
P_081,"One hand, open palm extended fingers, positioned on the side of the head, behind the ear, turning clockwise, repeatedly","One hand, extended index finger poiting the ear, stationary + one hand, open palm facing down, moving downwards, repeatedly","One hand, all fingers extended pinched together over the mouth, stationary","Two hands, closed palms facing inward, fingers pinched together over mount, quickly opening fingers outward, once","One hand, open palm facing leftward, moving downwards in front, once","One hand, open palm facing down in front, moving upwards, once","One hand, open and raised palm, facing forward, stationary","One hand, open palm facing outward, moving downwards, once"
P_082,"One hand, fingers pinching knob in front, rotating clockwise, repeatedly","One hand, fingers pinching knob in front, rotating counterclockwise, repeatedly","One hand, arm extended, open palm facing outward, blocking view in front, stationary","One hand, arm extended, open palm facing outward, stationary","One hand, extended arm outward, open palm, swiping rightwards in front, once","One hand, extended arm outward, open palm, swiping lefttwards in front, once","One hand, open and raised palm, facing forward, stationary","Two hands, open palms facing each other in front, clapping in front, once"
P_083,"One hand, back of the hand facing up, moving upwards, once ","One hand, open palm facing down, moving downwards, once","Two hands, open palms facing down, crossed in front, stationary","One hand, open palm facing inwards, fingers touching the mouth, moving outward away from the mouth, once","One hand, open palm facing leftward, moving downwards in front, once","Two hands, open palms facing each other in front, clapping in front, once","One hand, open and raised palm, facing forward, stationary","One hand, open palm facing out, waving left-right, repeatedly"
P_084,"One hand, index finger extended, positioned on the side of the head, pointing to ear, stationary + one hand, index finger extended pointing up, moving upwards, once","One hand, open palm facing down, moving downwards, once","One hand, index finger extended placed over the mouth, stationary","One hand, thumb finger extended, pointing rightwards, stationary","One hand, open palm facing inward in front, swiping downwards in fornt of face, once","One hand, open palm facing inward in front, swiping upwards in front of face, once","One hand, index finger extended upward, stationary","One hand, open palm facing inward in front, waving downwards, once"
P_085,"One hand, index finger extended pointing up, repeadly","One hand, index finger extended, pointing down, repeatedly","One hand, palm partially open, all fingers tapping together, once","One hand, all fingers pinched together, quickly opening outward, once","One hand, extended arm, open palm facing frontward, swiping rightwards in front, once","One hand, extended arm, open palm facing frontward, swiping lefttwards in front, once","One hand, open and raised palm, facing forward, stationary","One hand, open palm facing outward, moving downwards, once"
P_086,"One hand, open palm facing up, moving upwards, once","One hand, open palm facing down, moving downwards, once","One hand, open palm facing down, slashing rightwards in front, once","Two hands, raised hand, open palms facing frontward, clapping in front, once","Two hands, open palms facing inward, closing palms moving inwards, once","One hand, fingers pinching knob in front, rotating clockwise, once","One hand, index finger extended upward, stationary","One hand, open palm facing out, waving left-right, repeatedly"
P_087,"One hand, open palm facing up, moving upwards, repeadly","One hand, open palm facing down, moving downwards, once","One hand, open palm facing inward, covering the mouth, stationary","One hand, open palm facing inwards, fingers touching the mouth, moving outward away from the mouth, once","One hand, open palm facing out, waving left-right, repeatedly","One hand, open palm facing out, waving left-right, repeatedly","One hand, index finger extended upward, stationary","One hand, open palm facing out, waving left-right, repeatedly"
